Date_Listened,Song_Name,Artist,Feature_Artists,Album,Duration,Genre,Subgenre,Tempo_BPM,Key_Signature,Album_Release_Date
2023/02/05,Sky,Playboi Carti,,Whole Lotta Red,193,Hip-Hop,Vapor Trap,140,D Major,2020/12/25
2023/02/05,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
2023/02/05,Multiply (feat. Juicy J),A$AP Rocky,Juicy J,Multiply (feat. Juicy J),223,Hip-Hop,Rap,115,C Major,2014/10/07
2023/02/05,Excuse Me,A$AP Rocky,,AT.LONG.LAST.A$AP,238,Hip-Hop,Psychadelic Hip-Hop,122,G# Major,2015/05/26
2023/02/05,FWU,Artie J,,Trap Girls Club,201,R&B,Trap Soul,134,A# Minor,2021/01/10
2023/02/05,Bentley Keys,Lyfe Harris,,Bentley Keys,145,R&B,Trap Soul,108,F Minor,2020/10/23
2023/02/05,FREAK IN YOU,PARTYNEXTDOOR,,COLOURS 2,272,R&B,Contemporary R&B,87,C# Major,2017/06/02
2023/02/05,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,"A$AP Rocky, Playboi Carti",Lust for Life,260,Pop,Indie Pop,135,C# Major,2017/07/21
2023/02/05,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
2023/02/05,Streams,LVNDVN,,Streams,240,R&B,Alternative R&B,120,F Minor,2019/11/22
2023/02/05,Moon Lit District,LVNDVN,,Moon Lit District,295,R&B,Alternative R&B,112,A# Minor,2017/09/15
2023/02/05,Loft Music,The Weeknd,,Trilogy,363,R&B,Alternative R&B,172,F# Minor,2012/11/13
2023/02/05,Top Floor,Lyfe Harris,,Since We're Here,126,R&B,Trap Soul,106,C# Minor,2020/04/04
2023/02/05,Stick Talk,Future,,DS2 (Deluxe),171,Hip-Hop,Trap,160,G Major,2015/07/17
2023/02/05,Break From Toronto,PARTYNEXTDOOR,,PARTYNEXTDOOR,99,R&B,Trap Soul,117,A Major,2013/07/01
2023/02/05,Find Her,Lyfe Harris,,Nothing New,133,R&B,Trap Soul,89,F# Minor,2021/02/10
2023/02/05,Serial Killer,Lyfe Harris,,Nothing New,202,R&B,Trap Soul,110,F Minor,2021/02/10
2023/02/05,You Know,Lyfe Harris,,Nothing New,179,R&B,Trap Soul,89,F Minor,2021/02/10
2023/02/05,Don't Panic,Lyfe Harris,,Don't Panic,112,R&B,Trap Soul,108,A# Minor,2020/01/06
2023/02/05,Love You Again,PLAZA,,SHADOW,281,R&B,Alternative R&B,138,B Minor,2017/06/11
2023/02/05,Turn On Me,Future,,HNDRXX,264,Hip-Hop,Trap,127,B Major,2017/07/27
2023/02/05,The Party & The After Party,The Weeknd,,Trilogy,459,R&B,Alternative R&B,204,F Minor,2012/11/13
2023/02/05,Water,PLAZA,,One,181,R&B,Alternative R&B,104,C# Minor,2016/08/29
2023/02/05,The Knowing,The Weeknd,,Trilogy,340,R&B,Alternative R&B,86,F# Minor,2012/11/13
2023/02/05,Lie To Me,Black Atlass,,Dream Awake,210,R&B,Alternative R&B,158,B Minor,2020/04/03
2023/02/05,Loft Music,The Weeknd,,Trilogy,363,R&B,Alternative R&B,172,F# Minor,2012/11/13
2023/02/05,Break From Toronto,PARTYNEXTDOOR,,PARTYNEXTDOOR,99,R&B,Trap Soul,117,A Major,2013/07/01
2023/02/05,Still Alive,PLAZA,,Nocturnes,198,R&B,Alternative R&B,147,G Minor,2021/10/01
2023/02/05,Salty,Lyfe Harris,,Since We're Here,134,R&B,Trap Soul,94,C# Minor,2020/04/04
2023/02/05,Wus Good / Curious,PARTYNEXTDOOR,,PARTYNEXTDOOR,212,R&B,Trap Soul,83,B Major,2013/07/01
